Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH,Pack_SOH_mean,Pack_SOH_median,Pack_SOH_std,Pack_SOH_min,Pack_SOH_max,Pack_SOH_skew,Predicted_SOH,Predicted_Health_Status
NMC,56,J2-500,2.1,1.5775,5,20,15.023809523809522,3.6517,3.6724,3.6929,3.674,3.6535,3.6321,3.6073,3.6259,3.6501,3.6917,3.7292,3.6892,3.6554,3.6166,3.5608,3.6018,3.6492,3.7189,3.7937,3.7168,3.6594,0.7511904761904761,3.663933333333334,3.6554,0.0512356549029416,3.5608,3.7937,0.4598497957385855,0.7608338770210676,Healthy
NMC,57,J2-600,2.1,1.4437,5,20,13.749523809523808,3.6709,3.6917,3.7118,3.6914,3.6734,3.6542,3.6266,3.6489,3.6687,3.7075,3.7487,3.7093,3.6762,3.6362,3.5794,3.6241,3.6678,3.75,3.8138,3.7332,3.6811,0.6874761904761905,3.684042857142857,3.6762,0.0514628659465111,3.5794,3.8138,0.4743278991342721,0.683275181698864,Healthy
NMC,58,J3-200,2.1,1.8194,5,20,17.327619047619045,3.6225,3.6414,3.6554,3.6359,3.6238,3.6049,3.5894,3.608,3.6213,3.6604,3.6867,3.6507,3.6247,3.5859,3.5559,3.5946,3.6207,3.6985,3.7456,3.6731,3.6272,0.8663809523809523,3.6346000000000007,3.6247,0.042772818471548,3.5559,3.7456,0.7372403362763436,0.8769788218973348,Healthy
NMC,59,J3-300,2.1,1.7594,5,20,16.756190476190476,3.6306,3.6483,3.6653,3.6458,3.6321,3.6135,3.5953,3.6148,3.6294,3.6684,3.6985,3.6597,3.6331,3.5984,3.5593,3.5977,3.6284,3.6985,3.7602,3.6845,3.6359,0.8378095238095238,3.6427476190476193,3.6331,0.0440915821790012,3.5593,3.7602,0.7415050883012261,0.8302969503266365,Healthy
NMC,60,J3-400,2.1,1.6817,5,20,16.016190476190477,3.6387,3.6579,3.6749,3.6551,3.6405,3.6238,3.6021,3.6201,3.638,3.674,3.7078,3.6721,3.6418,3.6092,3.5639,3.6005,3.6371,3.7146,3.7692,3.6976,3.6449,0.8008095238095237,3.6516095238095234,3.6418,0.0456789875627942,3.5639,3.7692,0.6461057938199619,0.8254320158001776,Healthy
NMC,61,J3-500,2.1,1.4958,5,20,14.245714285714286,3.6628,3.6821,3.6991,3.6796,3.665,3.6461,3.6263,3.6455,3.6619,3.7007,3.7323,3.6932,3.6666,3.6281,3.5878,3.6247,3.661,3.741,3.7946,3.7211,3.6703,0.7122857142857143,3.675704761904763,3.6666,0.0462720917637237,3.5878,3.7946,0.6492748697678993,0.7680306737177888,Healthy
NMC,62,J3-600,2.1,1.301,5,20,12.390476190476187,3.6811,3.701,3.7193,3.6997,3.6833,3.6641,3.6414,3.6628,3.6796,3.7158,3.7534,3.7137,3.6855,3.6442,3.5984,3.6414,3.678,3.7574,3.8166,3.7403,3.6907,0.6195238095238095,3.6937,3.6855,0.048038089054416,3.5984,3.8166,0.5614365697466454,0.684379006466708,Healthy
NMC,63,J4-100,2.1,1.8809,5,20,17.913333333333334,3.6182,3.6343,3.6467,3.6278,3.6197,3.5999,3.5897,3.6089,3.617,3.656,3.6746,3.6365,3.6207,3.5828,3.5611,3.5996,3.6163,3.6848,3.7286,3.6529,3.6228,0.8956666666666666,3.628519047619047,3.6207,0.0373013755650863,3.5611,3.7286,0.8507926347347627,0.940207066027091,Healthy
NMC,64,J4-200,2.1,1.8001,5,20,17.143809523809523,3.6269,3.6452,3.6588,3.6399,3.6281,3.6104,3.5946,3.6139,3.6259,3.6625,3.6892,3.6523,3.6294,3.5915,3.5618,3.6005,3.6253,3.6988,3.7468,3.6755,3.6315,0.8571904761904762,3.638514285714285,3.6294,0.0412887670645938,3.5618,3.7468,0.7493698796539597,0.8994360153258568,Healthy
NMC,65,J4-400,2.1,1.6412,5,20,15.63047619047619,3.6473,3.6653,3.6833,3.665,3.6489,3.6331,3.6108,3.6284,3.6464,3.6824,3.7162,3.6833,3.6507,3.6139,3.5723,3.6095,3.6455,3.7124,3.7754,3.7112,3.6538,0.7815238095238095,3.659766666666667,3.6507,0.0451644144579926,3.5723,3.7754,0.5856664525603714,0.8249822379167295,Healthy
NMC,66,J4-500,2.1,1.4674,5,20,13.975238095238094,3.6706,3.6901,3.7072,3.6886,3.6724,3.6548,3.6331,3.6526,3.6693,3.7053,3.74,3.7028,3.6746,3.6359,3.5925,3.6328,3.6681,3.7462,3.8008,3.7282,3.6786,0.6987619047619047,3.683071428571429,3.6746,0.0461647066800726,3.5925,3.8008,0.5799303191286093,0.7507255031816383,Healthy
NMC,67,J4-600,2.1,1.3856,5,20,13.196190476190475,3.6802,3.6985,3.7177,3.6997,3.683,3.6669,3.6414,3.6613,3.6786,3.7193,3.7509,3.7134,3.6852,3.6473,3.598,3.6396,3.6774,3.7571,3.8113,3.7391,3.6904,0.6598095238095237,3.6931571428571424,3.6852,0.0471538712242014,3.598,3.8113,0.4900940291826146,0.717186037401871,Healthy
NMC,1,D3-100,2.1,1.9155,5,25,22.80357142857143,3.6455,3.6653,3.6749,3.6554,3.6467,3.6275,3.6173,3.6371,3.6449,3.6839,3.7031,3.6656,3.6476,3.608,3.5878,3.6281,3.6442,3.7162,3.7583,3.6876,3.6501,0.9121428571428573,3.656909523809524,3.6476,0.0384505644270914,3.5878,3.7583,0.807955949738407,0.908238180689058,Healthy
NMC,2,D3-200,2.1,1.8499,5,25,22.02261904761905,3.6526,3.6706,3.6848,3.6675,3.6538,3.6352,3.6204,3.6393,3.6517,3.6904,3.7155,3.6768,3.6548,3.616,3.5878,3.6284,3.6511,3.7282,3.7729,3.6991,3.6576,0.880904761904762,3.6645,3.6548,0.0415960935665838,3.5878,3.7729,0.7572852630591052,0.8651201605017761,Healthy
NMC,3,D3-300,2.1,1.8004,5,25,21.43333333333333,3.6597,3.678,3.6935,3.6752,3.6613,3.6421,3.6256,3.6452,3.6588,3.696,3.7251,3.6876,3.6622,3.6238,3.5903,3.625,3.6582,3.7338,3.7847,3.7115,3.6653,0.8573333333333333,3.671566666666667,3.6622,0.0435706476120487,3.5903,3.7847,0.6946488137648575,0.8405019438163063,Healthy
NMC,4,D3-400,2.1,1.7452,5,25,20.776190476190475,3.6697,3.6889,3.705,3.6861,3.6718,3.6529,3.634,3.6532,3.669,3.7069,3.7366,3.7013,3.6731,3.6414,3.5965,3.6343,3.6681,3.7394,3.7946,3.7295,3.6762,0.831047619047619,3.6823095238095234,3.6731,0.0440110089041583,3.5965,3.7946,0.5948479039836283,0.8332557634010647,Healthy
